response-id,seen-message,seen-mention,seen-email,seen-thank,seen-revert,seen-review,seen-link,seen-rights,rank-message,rank-mention,rank-email,rank-thank,rank-revert,rank-review,rank-link,rank-rights
103,1,1,,1,1,1,1,,2,3,,6,1,4,5,
104,1,1,1,1,1,1,1,1,2,3,1,8,4,7,5,6
105,1,1,,1,1,,,,1,2,,4,3,,,
106,1,1,1,1,,1,,,2,3,5,4,,1,,
107,1,1,,1,1,,,,2,3,,1,4,,,
108,1,1,,1,,,1,,1,2,,3,,,4,
109,1,,,,,,,,,,,,,,,
110,1,1,,1,1,1,1,1,1,2,,5,3,4,7,6
111,1,1,1,1,1,1,1,1,3,5,7,2,6,1,4,8
112,1,1,,1,1,1,1,,1,3,,5,2,6,4,
113,1,1,,1,1,1,1,,2,3,,4,1,5,6,
114,1,1,,1,,,1,,1,2,,3,,,4,
115,1,,,1,,1,,,,,,,,,,
116,1,,,1,1,,1,,2,,,3,1,,4,
117,1,1,,1,1,1,,,1,3,,4,2,5,,
